Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,64598,2104.1631,1384,306601,3.78
d-N3TCORgnA,Set it straight gets arrested,"Mar 3, 2008",148,16845,44.5018,0,783,4.21
_4lIP98jAH8,The Garden: Commune or Cult -- Official Cast After-Action Q&A -- Episode 6 FINALE!,"Nov 27, 2023",4078,4702,697.8378,29,71820,4.01
tQNw_K8_QzA,puss kiss,"Sep 6, 2008",13,3954,9.3206,1,16671,5.22
QoUepLhobWE,The Garden: Commune or Cult -- Official Cast After-Action Q&A -- Episode 1-2,"Oct 30, 2023",7859,2531,482.3808,33,27380,5.29
mM32iMxRDyo,I saw some weird shit at Folsom Street Fair 2017,"Sep 27, 2017",20,2346,10.2827,1,21608,4.87
pVtCRS116mg,"February 19, 2017","Feb 20, 2017",28,1804,8.3807,0,319,0.94
gO6tuHaTQjg,My experience of @loloverruled (Alex Peter),"Jul 29, 2025",65,1260,7.7746,1,9326,4.54
S48BJCOYrSw,how did I see this coming? new inflation and unemployment numbers are out,"Aug 1, 2025",87,1080,7.0388,0,297,5.05
dTkPLQTCLpM,trump stole their trophy 🤯,"Jul 15, 2025",71,1078,5.3597,0,187,6.95
3SWUu5kn6GE,The Garden: Commune or Cult -- Official Cast After-Action Q&A -- Episode 5,"Nov 21, 2023",5731,1076,156.86,8,18712,3.18
dEWI2YlSTEM,Ben Eating a TSP of Cinnamon,"Nov 10, 2007",61,987,0.5098,0,250,2
ic2nsq9RO-8,Miracle Mile Firebomber in Redding CA,"Aug 27, 2008",64,958,1.1762,0,467,3.64
RtX47SNY-do,The Garden: Commune or Cult -- Official Cast After-Action Q&A -- Episode 3,"Nov 7, 2023",6654,957,166.4682,9,13921,4.01
gEbeCpJKh6E,the ai we were promised:,"Aug 11, 2025",11,943,1.0679,,15,13.33
b6nMCTqmb7o,"July 31, 2025","Jul 31, 2025",169,942,7.7833,0,454,5.51
5uj959akwlg,Mayor Lurie sells out San Francisco in major violation of state and local law,"Jul 14, 2025",82,935,5.7156,0,167,2.99
oZvtJGAQ0Xc,The Final Ride,"Mar 3, 2008",138,935,0.8082,0,152,16.45
UTbd9xHFLG0,LLM can't tell the difference between zombies and Trump supporters,"Jun 23, 2025",98,903,4.2023,0,289,4.5
zUGx385FLhc,"July 19, 2025","Jul 19, 2025",180,850,1.785,0,266,3.38
W7t9-NR9aAc,It's wild how detached from reality snopes has become,"Jun 26, 2025",65,841,4.5072,0,264,3.79
gWYb0g_o-88,Bart board denounces Lurie's Illegal data sharing. Says Bart would never do that.,"Jul 24, 2025",62,828,2.5621,0,268,2.61
gmrBuOLlcGQ,Vigilantism is on the rise in response to unprecedented and illegal regime-backed state violence,"Jul 10, 2025",104,806,5.5789,0,221,2.26
hVJg3RDfPEA,Trump vs California High Speed Rail,"Jul 22, 2025",136,801,8.0143,1,395,4.56
dLOFTMa1PXY,My Burning Man Tent 3.0,"Jun 18, 2019",115,741,14.1925,0,5308,5.99
s5xfvlopmMg,How to build a building at a forest commune with found materials,"Apr 16, 2023",45,677,4.8234,6,3349,2.12
Z9AAocFJiGs,"March 3, 2017","Mar 4, 2017",43,609,4.5247,0,284,3.17
8fAuutJXXXY,The Garden: Commune or Cult -- Official Cast After-Action Q&A  -- Episode 4,"Nov 21, 2023",7362,501,119.112,4,10548,2.58
0939brr2ns8,Gerrymandering & Game Theory,"Aug 7, 2025",176,492,5.0339,0,323,8.05
ZVN9WYrt2ec,Very excited that my trellis project is moving along!,"Apr 18, 2023",60,492,2.8025,2,2007,1.89
d9GU-yZeF1U,DJ Equipment Test,"Mar 6, 2010",21,423,0.7286,0,415,1.93
ArP4deQwd0o,When you're feeding snek and snek tried eating you,"Sep 12, 2017",28,411,2.7791,0,2085,3.45
qHn0WGyOWXw,"July 29, 2025","Jul 30, 2025",142,410,2.419,0,209,2.87
w5L0xdFXHms,Caldwell Pillow Fight,"Feb 18, 2008",527,401,0.3582,0,463,0.22
emJpOybu8qc,Big Vehicle Fire on I-5 Near Cottonwood,"Oct 12, 2008",20,380,0.2418,0,278,3.6
RUmM1ymH9fg,Ethical Artificial Intelligence - A Conversation with The Real Cornpop and Future Infinitive,"May 18, 2025",12010,364,93.3656,8,2997,4.7
fYv-yl9Te4Y,The Danger of Glenn Beck's Conspiracies,"Feb 26, 2011",390,358,2.4264,0,0,
jO286YUizpE,enterprise fire,"Sep 13, 2008",18,343,0.1448,0,532,4.51
xooHzK2-M9g,No one is more replaceable by AI than management,"Jul 14, 2025",180,333,3.1065,0,233,7.73
KLgSt-5nQRA,Strategic Recommendations for NVIDIA,"May 13, 2024",383,304,9.4843,11,11227,1.4
_lWgNHMImn8,Why did I get an MBA?,"Jul 15, 2025",176,290,1.5828,0,202,4.95
KjWb2y7hWNY,"July 20, 2025","Jul 21, 2025",23,288,0.6906,0,241,5.39
7eJTMYriogc,That's not ad hominem,"Jun 25, 2025",104,241,2.4284,0,230,3.48
KVNYftEyLsc,We are beginning to see how much we have to learn.,"Apr 21, 2023",20,215,0.8029,1,1450,1.45
Md18741iqog,Checking out Unicorn bar in Seattle,"Dec 28, 2017",8,212,0.4013,0,1992,8.18
nn8kJ0FAuWM,Tucker and Bannon are not on your side,"Jun 20, 2025",140,205,1.0773,0,308,5.19
IrDqRBh8Ja0,Burning Man 2016,"Sep 16, 2016",209,199,3.3349,0,569,5.45
Vp9wS7pdnJc,an important lesson about living in community...,"Apr 25, 2023",39,191,1.3772,2,1774,6.71
30NkP-Wyy_I,"Walk-Through of Every Art Car at the Man Burn, Burning Man 2016","Sep 18, 2016",692,190,4.7588,0,833,4.08
sHffYyS0Djc,"July 17, 2025","Jul 17, 2025",99,177,1.0894,0,210,6.19
wB3ZArYr9ro,CJ Trowbridge on PrEP,"Aug 3, 2017",330,162,3.3445,8,1617,5.5
KthHYU03Wag,New weekly live stream about current events in the bay!,"Jul 23, 2025",105,158,0.2339,0,335,4.48
IyzBEZki2WI,"Join Future Infinitive, Comrade Workwear, CJ Trowbridge and Axiom Myth this Saturday!","Jul 10, 2025",97,157,0.4134,0,306,3.27
M8SL5NLD7hE,Artificial Intelligence Is The Kind Of Technology That Could Only Have Been Invented By Communists,"Aug 9, 2023",360,153,6.2175,0,2808,3.6
tUt6CTdGwKA,Help us build a foundation for the survival of humanity!,"Nov 20, 2023",598,146,6.4146,3,4164,2.47
nvz3_a-YDak,How to integrate rain catchment into your off grid structure designs,"Apr 16, 2023",25,138,0.6693,3,2092,1.2
Kq-p1v7t8QA,How To Cope With Living In A For-Profit Sickness State,"Aug 9, 2023",156,135,3.0261,7,2506,3.91
9f2c02C73nE,"August 7, 2025","Aug 8, 2025",177,132,2.5141,0,328,7.01
VolIZFAsqmw,Good News! The right-wing is spiraling.,"Jul 12, 2025",167,130,2.2916,0,407,7.62
taE95BCnqXg,I just saw someone selling maga hats written in Chinese 🤣,"Aug 5, 2025",173,127,1.7206,0,462,5.41
